プレイヤー名,平均順位,和了率,放銃率,和了率-放銃率,副露率,副露成功率,リーチ率,ダマ和了率,平均打点,平均放銃点,流局聴牌率,総ゲーム数,総局数,和了回数,放銃回数
はいてんぼー,2.565,20.75,12.58,8.18,30.19,26.39,15.93,52.53,5748,5343,43.42,46,477,99,60
三島八雲,2.567,21.99,13.55,8.43,30.72,40.20,16.27,69.86,4445,4340,37.10,30,332,73,45
まえた,2.567,21.62,13.81,7.81,30.93,37.86,14.71,68.06,5478,4280,33.33,30,333,72,46
ノオチャベス,2.568,21.79,15.50,6.29,30.92,31.81,17.15,61.73,5613,4954,40.88,118,1271,277,197
寿人流牌手,2.569,22.67,11.84,10.83,39.42,29.18,17.77,63.43,5584,5896,46.39,58,591,134,70
3月のショウタ,2.571,19.39,12.12,7.27,31.02,32.29,17.77,60.00,5650,4911,41.84,56,619,120,75
-豊口めぐみ-,2.571,19.89,10.64,9.24,34.17,31.15,19.33,60.56,5320,4684,47.17,35,357,71,38
soldier5,2.571,25.08,12.54,12.54,35.11,33.93,25.71,53.75,5456,5120,38.78,28,319,80,40
南斗シン,2.571,20.00,11.48,8.52,37.41,24.75,16.67,59.26,6335,5545,42.11,28,270,54,31
37悠一,2.571,21.25,19.17,2.08,34.58,34.94,20.83,62.75,6498,5696,52.94,21,240,51,46
chxcc,2.571,20.19,12.98,7.21,34.13,28.17,16.35,66.67,5340,4178,33.33,21,208,42,27
侍,2.572,19.66,12.53,7.14,38.05,28.14,15.76,65.75,5715,5113,50.97,138,1485,292,186
ラブレー,2.574,21.72,12.50,9.22,36.09,31.60,12.03,67.63,6111,4364,39.42,68,640,139,80
693,2.577,20.07,12.19,7.89,30.11,32.14,13.62,62.50,4907,4732,36.59,26,279,56,34
うどんこ,2.579,19.85,14.60,5.26,31.82,26.15,20.58,54.41,5789,5617,52.73,76,685,136,100
ベンゼマさん,2.579,21.08,11.57,9.51,33.42,26.15,21.34,47.56,6260,4549,36.36,38,389,82,45
しらすＡ,2.581,19.94,12.88,7.06,32.82,24.30,16.87,56.92,4928,5140,37.29,31,326,65,42
明星市民,2.581,21.04,12.94,8.09,31.72,34.69,14.56,67.69,5638,5575,51.85,31,309,65,40
navel,2.581,18.47,13.16,5.31,31.00,25.34,19.53,50.57,5805,4553,37.50,43,471,87,62
馬了隔壁,2.582,19.96,11.48,8.48,36.57,25.12,15.90,59.29,5738,4757,41.94,55,566,113,65
麻雀ハイブリッド,2.583,19.48,12.61,6.88,28.65,25.00,19.20,51.47,6243,4420,48.28,36,349,68,44
