プレイヤー名,平均順位,和了率,放銃率,和了率-放銃率,副露率,副露成功率,リーチ率,ダマ和了率,平均打点,平均放銃点,流局聴牌率,総ゲーム数,総局数,和了回数,放銃回数
ひぐち,2.707,15.75,13.01,2.74,25.57,22.32,16.67,59.42,6119,5144,44.05,41,438,69,57
落日,2.709,20.66,16.07,4.59,27.83,25.26,22.09,47.22,6038,5626,51.00,79,697,144,112
がた,2.709,21.94,15.15,6.80,35.53,32.24,18.83,63.72,5209,4871,55.88,55,515,113,78
未来少年,2.710,18.67,13.00,5.67,35.67,23.36,20.00,51.79,5218,5526,60.38,31,300,56,39
花道桜木,2.714,17.11,12.17,4.93,28.95,23.86,16.12,57.69,5727,5146,38.18,28,304,52,37
九蓮宝燈男,2.714,23.23,20.20,3.03,21.21,28.57,24.24,39.13,6887,6188,47.62,21,198,46,40
りんご226,2.719,21.02,14.77,6.25,32.39,29.82,17.33,66.22,4850,4594,35.85,32,352,74,52
覚醒したとまと,2.719,20.25,14.24,6.01,35.13,22.52,21.84,40.62,5905,5249,50.00,32,316,64,45
Christ12,2.720,19.18,12.33,6.85,34.25,30.00,14.38,66.07,5093,5314,45.10,25,292,56,36
こてる,2.720,22.01,14.29,7.72,36.29,28.72,15.44,66.67,5114,4700,50.00,25,259,57,37
ささり,2.720,19.43,11.74,7.69,29.15,30.56,21.46,62.50,5135,6866,52.50,25,247,48,29
miwaku@,2.722,20.73,15.69,5.04,27.73,26.26,18.21,55.41,5997,6073,46.15,36,357,74,56
人品なし,2.723,18.81,15.55,3.26,36.66,25.13,20.35,56.12,5602,5028,50.56,47,521,98,81
wawa3030,2.731,21.20,16.25,4.95,28.62,32.10,20.14,60.00,5838,5207,58.49,26,283,60,46
Suzaku,2.738,18.02,12.53,5.49,29.45,24.63,18.68,47.56,5852,4932,28.57,42,455,82,57
胃と腸,2.739,21.39,14.45,6.94,34.10,37.29,19.65,64.86,4914,5088,42.31,23,173,37,25
ブービー,2.742,22.12,18.38,3.74,28.66,38.04,23.99,57.75,5572,5417,56.10,31,321,71,59
Nosuke,2.744,16.92,13.28,3.64,31.91,25.50,17.99,59.49,5272,4705,34.83,43,467,79,62
slick319,2.745,18.13,14.50,3.63,40.79,25.93,12.39,66.67,4890,4527,50.00,55,331,60,48
JOJO1985,2.750,17.00,16.43,0.58,30.84,24.30,23.92,50.85,6583,5286,52.73,32,347,59,57
宇宙打牌,2.750,16.06,17.62,-1.55,52.85,16.67,11.92,74.19,6487,5500,41.94,20,193,31,34
vacvase,2.750,20.62,12.89,7.73,32.47,28.57,15.98,57.50,5338,5700,50.00,20,194,40,25
86,2.760,22.00,14.40,7.60,34.80,31.03,18.00,67.27,5435,5850,52.17,25,250,55,36
Amaybe,2.763,19.76,17.11,2.65,31.81,29.55,18.80,54.88,5535,4701,38.46,38,415,82,71
のあマスター02,2.765,21.78,15.47,6.30,44.13,30.52,14.90,71.05,4014,4385,51.85,34,349,76,54
清風北,2.767,18.84,13.04,5.80,35.07,25.62,19.42,56.92,5692,5709,43.08,30,345,65,45
Sierra,2.768,19.44,11.27,8.17,29.90,22.40,15.20,60.50,5771,4839,43.00,56,612,119,69
doghead,2.769,20.57,13.48,7.09,46.45,25.95,12.41,65.52,5519,5300,42.31,26,282,58,38
～和泉妃愛～,2.773,20.15,12.55,7.60,34.98,29.35,17.87,62.26,5506,5388,40.48,22,263,53,33
アラサーだよ!!,2.778,19.97,14.75,5.22,33.38,29.46,15.20,64.93,5436,5165,49.44,63,671,134,99
もぐら,2.781,18.58,14.75,3.83,39.34,18.06,16.39,58.82,5012,3644,62.50,32,183,34,27
wengding,2.783,16.30,9.63,6.67,37.04,25.00,14.07,59.09,5655,5581,27.87,23,270,44,26
ぽんでらいおん,2.788,19.20,13.47,5.73,39.83,24.46,17.77,61.19,5640,5277,40.32,33,349,67,47
siera401,2.792,15.09,16.38,-1.29,31.03,15.28,21.55,37.14,7711,4829,42.11,24,232,35,38
狗完了送,2.792,18.80,19.92,-1.13,31.58,21.43,21.43,50.00,6470,5857,29.73,24,266,50,53
はげしくウツ,2.800,16.86,15.69,1.18,37.65,25.00,12.94,72.09,6453,4178,47.92,25,255,43,40
ねこにゃん,2.800,15.85,13.03,2.82,30.99,26.14,12.68,68.89,6487,4716,40.00,25,284,45,37
なまけ者,2.800,17.03,8.79,8.24,29.12,32.08,15.93,61.29,6790,5888,36.36,20,182,31,16
夢付き,2.800,18.18,16.82,1.36,40.00,27.27,19.55,60.00,4732,4659,38.10,20,220,40,37
プレヴァティ,2.804,20.07,20.40,-0.33,41.47,22.58,18.06,61.67,5875,4567,36.36,46,299,60,61
CelesTe,2.808,20.85,12.37,8.48,39.58,25.89,15.19,57.63,4927,4629,36.54,26,283,59,35
姜,2.810,20.85,16.11,4.74,32.70,30.43,20.38,56.82,5914,5394,53.85,21,211,44,34
アナーきー,2.810,22.07,15.77,6.31,30.63,33.82,19.82,53.06,5055,6160,40.00,21,222,49,35
0.120,2.812,16.50,15.86,0.65,36.89,19.30,21.36,47.06,5525,4690,48.21,32,309,51,49
百野さん,2.816,20.83,14.81,6.02,32.18,29.50,18.06,63.33,5297,5575,46.03,38,432,90,64
Blast7,2.821,17.91,15.20,2.70,30.41,25.56,14.86,54.72,5691,4571,34.09,28,296,53,45
CLAVION,2.826,15.93,15.49,0.44,32.30,20.55,22.12,47.22,5811,3840,51.52,23,226,36,35
ぽろ,2.844,18.05,12.32,5.73,33.81,29.66,14.04,61.90,5359,5419,46.30,32,349,63,43
ゆうゆき,2.846,15.50,11.07,4.43,31.37,31.76,16.61,71.43,4960,5393,41.67,26,271,42,30
びりびり☆ビリー,2.850,19.79,14.44,5.35,31.02,25.86,18.18,62.16,6743,4833,45.45,20,187,37,27
ちくわ君,2.864,15.72,11.35,4.37,37.12,23.53,11.35,66.67,6456,6619,25.58,22,229,36,26
zhouyi,2.864,17.50,13.75,3.75,39.17,25.53,15.42,66.67,4857,4612,48.94,22,240,42,33
雨收黛青色,2.867,17.24,9.72,7.52,34.80,22.52,14.11,58.18,5462,5155,48.53,30,319,55,31
まちむら,2.871,20.27,16.10,4.17,27.87,26.74,25.19,37.50,6309,5651,48.94,62,671,136,108
生徒会【序】,2.875,17.69,13.36,4.33,41.16,20.18,17.69,61.22,5347,5084,50.00,24,277,49,37
運で勝つ,2.880,15.41,12.41,3.01,36.47,16.49,18.80,46.34,6249,4864,46.67,25,266,41,33
トレバーバウアー,2.885,15.83,18.35,-2.52,28.42,26.58,19.06,52.27,6475,5533,56.82,26,278,44,51
イカにも東北,2.889,15.34,12.96,2.38,31.22,22.03,19.31,55.17,5167,4541,45.31,36,378,58,49
星竹肉パセリ,2.897,19.53,15.15,4.38,30.30,31.11,15.82,55.17,5405,4947,45.76,29,297,58,45
ahoge,2.900,21.52,17.04,4.48,30.94,36.23,18.83,68.75,4998,5174,41.67,20,223,48,38
こけ植物,2.900,13.41,11.59,1.83,40.85,20.90,13.41,81.82,3900,3863,73.53,20,164,22,19
けんぼー,2.917,20.23,16.41,3.82,35.11,22.83,20.99,50.94,5179,5433,40.48,24,262,53,43
lg21,2.921,19.35,15.33,4.02,32.41,31.01,19.85,57.14,5064,6056,54.55,38,398,77,61
きびだんごα,2.947,16.58,14.03,2.55,32.91,24.03,17.09,56.92,5155,4987,35.00,38,392,65,55
takuaka,3.000,17.09,14.18,2.91,38.91,26.17,20.73,61.70,5289,4038,48.08,34,275,47,39
新子望,3.000,17.73,13.64,4.09,29.09,26.56,17.73,46.15,6113,5660,41.03,20,220,39,30
doooowy1,3.038,18.18,16.43,1.75,36.71,29.52,20.28,63.46,4885,5462,50.00,26,286,52,47
武,3.125,17.12,13.51,3.60,32.43,26.39,17.57,57.89,4934,5617,43.90,24,222,38,30
